bciApp;username;time;att;med;delta;high_alpha;high_beta;low_alpha;low_beta;low_gamma;mid_gamma;theta;CurrentActivity
com.aiworker.bcineuroskyservice;ihar;20141222T110710America/Santiago(1,355,-10800,1,1419257230);0;0;1.0;1.0;3.0;0.0;2.0;1.0;0.0;2.0;default
com.aiworker.bcineuroskyservice;ihar;20141222T110711America/Santiago(1,355,-10800,1,1419257231);0;0;1731931.0;70578.0;1.6746409E7;36668.0;94337.0;16621.0;16354.0;1118877.0;default
com.aiworker.bcineuroskyservice;ihar;20141222T110712America/Santiago(1,355,-10800,1,1419257232);0;0;66757.0;594.0;873.0;491.0;444.0;500.0;1439.0;1916.0;default
com.aiworker.bcineuroskyservice;ihar;20141222T110713America/Santiago(1,355,-10800,1,1419257233);0;0;16315.0;3175.0;4718.0;727.0;911.0;5701.0;507.0;2819.0;default
com.aiworker.bcineuroskyservice;ihar;20141222T110714America/Santiago(1,355,-10800,1,1419257234);0;0;5015.0;2100.0;5894.0;4771.0;5672.0;2738.0;763.0;2419.0;default
com.aiworker.bcineuroskyservice;ihar;20141222T110715America/Santiago(1,355,-10800,1,1419257235);30;0;173258.0;4340.0;1770.0;4562.0;1582.0;1108.0;1316.0;26154.0;default
com.aiworker.bcineuroskyservice;ihar;20141222T110716America/Santiago(1,355,-10800,1,1419257236);43;30;1.6752619E7;5318.0;25583.0;20268.0;12865.0;10884.0;10158.0;21765.0;default
com.aiworker.bcineuroskyservice;ihar;20141222T110717America/Santiago(1,355,-10800,1,1419257237);60;38;3508.0;6146.0;23792.0;939.0;7534.0;13311.0;10489.0;13815.0;default
com.aiworker.bcineuroskyservice;ihar;20141222T110718America/Santiago(1,355,-10800,1,1419257238);64;20;49875.0;15804.0;14726.0;22401.0;13983.0;12931.0;5772.0;19178.0;default
com.aiworker.bcineuroskyservice;ihar;20141222T110719America/Santiago(1,355,-10800,1,1419257239);66;43;517915.0;21482.0;8125.0;25298.0;1.6762132E7;2135.0;519.0;1.6772653E7;default
com.aiworker.bcineuroskyservice;ihar;20141222T110720America/Santiago(1,355,-10800,1,1419257240);66;56;1078751.0;4632.0;4607.0;15706.0;11683.0;5545.0;1023.0;1.6745903E7;default
com.aiworker.bcineuroskyservice;ihar;20141222T110721America/Santiago(1,355,-10800,1,1419257241);51;56;771239.0;1.6746385E7;1.6764185E7;3065.0;1.6768372E7;1.6756022E7;1.6752242E7;490192.0;default
com.aiworker.bcineuroskyservice;ihar;20141222T110722America/Santiago(1,355,-10800,1,1419257242);35;29;1286125.0;14189.0;27799.0;2407.0;16404.0;12913.0;26423.0;156772.0;default
com.aiworker.bcineuroskyservice;ihar;20141222T110723America/Santiago(1,355,-10800,1,1419257243);38;37;1.6770728E7;14850.0;25907.0;10839.0;13215.0;11705.0;25340.0;1.6755257E7;default
com.aiworker.bcineuroskyservice;ihar;20141222T110724America/Santiago(1,355,-10800,1,1419257244);43;20;294201.0;10525.0;10176.0;11727.0;2738.0;11027.0;19085.0;1.6753089E7;default
com.aiworker.bcineuroskyservice;ihar;20141222T110725America/Santiago(1,355,-10800,1,1419257245);57;24;4700.0;12288.0;21650.0;4502.0;14731.0;22850.0;21835.0;24084.0;default
com.aiworker.bcineuroskyservice;ihar;20141222T110726America/Santiago(1,355,-10800,1,1419257246);70;50;7731.0;7276.0;31572.0;5705.0;21564.0;12041.0;25874.0;1.6744715E7;default
com.aiworker.bcineuroskyservice;ihar;20141222T110727America/Santiago(1,355,-10800,1,1419257247);61;57;708175.0;20059.0;18028.0;5592.0;26955.0;25641.0;6640.0;153498.0;default
com.aiworker.bcineuroskyservice;ihar;20141222T110728America/Santiago(1,355,-10800,1,1419257248);77;44;21518.0;4119.0;24276.0;5073.0;18965.0;12907.0;11493.0;15968.0;default
com.aiworker.bcineuroskyservice;ihar;20141222T110729America/Santiago(1,355,-10800,1,1419257249);70;29;545906.0;9800.0;16442.0;3765.0;11799.0;1.674522E7;13104.0;1.675531E7;yoga
