bciApp;username;time;att;med;delta;high_alpha;high_beta;low_alpha;low_beta;low_gamma;mid_gamma;theta;CurrentActivity
com.aiworker.bcineuroskyservice;ihar;20141223T122453America/Santiago(2,356,-10800,1,1419348293);0;0;3.0;0.0;1.0;0.0;1.0;0.0;2.0;4.0;default
com.aiworker.bcineuroskyservice;ihar;20141223T122454America/Santiago(2,356,-10800,1,1419348294);0;0;211864.0;15002.0;1873.0;13439.0;4473.0;393.0;212.0;5203.0;default
com.aiworker.bcineuroskyservice;ihar;20141223T122455America/Santiago(2,356,-10800,1,1419348295);0;0;11.0;1.0;1.0;0.0;1.0;0.0;2.0;1.0;default
com.aiworker.bcineuroskyservice;ihar;20141223T122456America/Santiago(2,356,-10800,1,1419348296);0;0;27.0;2.0;2.0;0.0;1.0;1.0;0.0;2.0;default
com.aiworker.bcineuroskyservice;ihar;20141223T122457America/Santiago(2,356,-10800,1,1419348297);0;0;13.0;0.0;2.0;0.0;0.0;1.0;0.0;1.0;default
com.aiworker.bcineuroskyservice;ihar;20141223T122458America/Santiago(2,356,-10800,1,1419348298);0;0;789.0;37.0;30.0;36.0;78.0;23.0;11.0;1.6777102E7;default
com.aiworker.bcineuroskyservice;ihar;20141223T122459America/Santiago(2,356,-10800,1,1419348299);0;0;5024.0;274.0;1151.0;282.0;517.0;563.0;1.6777167E7;858.0;default
com.aiworker.bcineuroskyservice;ihar;20141223T122500America/Santiago(2,356,-10800,1,1419348300);0;0;8889.0;1776.0;5496.0;3189.0;1198.0;5176.0;1058.0;2544.0;default
com.aiworker.bcineuroskyservice;ihar;20141223T122501America/Santiago(2,356,-10800,1,1419348301);0;0;12241.0;15663.0;10779.0;7613.0;4855.0;6069.0;2919.0;15563.0;default
com.aiworker.bcineuroskyservice;ihar;20141223T122502America/Santiago(2,356,-10800,1,1419348302);30;0;1.6761547E7;10347.0;10887.0;1.6747878E7;5878.0;8702.0;4891.0;18212.0;default
com.aiworker.bcineuroskyservice;ihar;20141223T122503America/Santiago(2,356,-10800,1,1419348303);27;51;100197.0;8145.0;19248.0;1306.0;15092.0;8922.0;2603.0;79468.0;default
com.aiworker.bcineuroskyservice;ihar;20141223T122504America/Santiago(2,356,-10800,1,1419348304);43;34;12977.0;2341.0;19321.0;4206.0;8109.0;5961.0;5437.0;14447.0;yoga
com.aiworker.bcineuroskyservice;ihar;20141223T122505America/Santiago(2,356,-10800,1,1419348305);56;21;11733.0;6862.0;1.6765905E7;25642.0;9291.0;7602.0;4472.0;29091.0;yoga
com.aiworker.bcineuroskyservice;ihar;20141223T122506America/Santiago(2,356,-10800,1,1419348306);54;20;1716018.0;5532.0;4971.0;3784.0;2810.0;1327.0;2103.0;21066.0;yoga
com.aiworker.bcineuroskyservice;ihar;20141223T122507America/Santiago(2,356,-10800,1,1419348307);54;4;417750.0;1529.0;537.0;1.677719E7;1103.0;1.6777179E7;113.0;15290.0;yoga
com.aiworker.bcineuroskyservice;ihar;20141223T122508America/Santiago(2,356,-10800,1,1419348308);54;4;758533.0;2917.0;350.0;72.0;470.0;1.6777128E7;88.0;4366.0;yoga
com.aiworker.bcineuroskyservice;ihar;20141223T122509America/Santiago(2,356,-10800,1,1419348309);54;4;735326.0;10159.0;4416.0;8962.0;4833.0;963.0;533.0;67832.0;yoga
com.aiworker.bcineuroskyservice;ihar;20141223T122510America/Santiago(2,356,-10800,1,1419348310);54;4;351067.0;1246.0;137.0;1942.0;792.0;1.6777129E7;108.0;11708.0;yoga
com.aiworker.bcineuroskyservice;ihar;20141223T122511America/Santiago(2,356,-10800,1,1419348311);40;4;608464.0;3456.0;1542.0;2293.0;1220.0;1894.0;2644.0;29868.0;yoga
