bciApp;username;time;att;med;delta;high_alpha;high_beta;low_alpha;low_beta;low_gamma;mid_gamma;theta;CurrentActivity
com.aiworker.bcineuroskyservice;ihar;20141220T104436America/Santiago(6,353,-10800,1,1419083076);0;0;583124.0;5555.0;3513.0;3645.0;2517.0;989.0;297.0;11049.0;default
com.aiworker.bcineuroskyservice;ihar;20141220T104436America/Santiago(6,353,-10800,1,1419083076);0;0;582773.0;1.6771577E7;8380.0;1.6771893E7;10790.0;1365.0;5204.0;255435.0;default
com.aiworker.bcineuroskyservice;ihar;20141220T104438America/Santiago(6,353,-10800,1,1419083078);0;0;0.0;0.0;1.0;2.0;2.0;0.0;0.0;3.0;default
com.aiworker.bcineuroskyservice;ihar;20141220T104439America/Santiago(6,353,-10800,1,1419083079);0;0;28.0;0.0;1.0;2.0;1.0;0.0;1.0;0.0;default
com.aiworker.bcineuroskyservice;ihar;20141220T104439America/Santiago(6,353,-10800,1,1419083079);0;0;23.0;2.0;1.0;3.0;2.0;4.0;2.0;9.0;default
com.aiworker.bcineuroskyservice;ihar;20141220T104440America/Santiago(6,353,-10800,1,1419083080);0;0;24083.0;841.0;1501.0;820.0;1077.0;3469.0;1872.0;7783.0;default
com.aiworker.bcineuroskyservice;ihar;20141220T104441America/Santiago(6,353,-10800,1,1419083081);0;0;137216.0;181.0;1.6777155E7;1412.0;644.0;199.0;1.6777094E7;1.6744996E7;default
com.aiworker.bcineuroskyservice;ihar;20141220T104442America/Santiago(6,353,-10800,1,1419083082);0;0;2044154.0;1.6750883E7;21511.0;31251.0;44338.0;11404.0;21814.0;396416.0;default
com.aiworker.bcineuroskyservice;ihar;20141220T104443America/Santiago(6,353,-10800,1,1419083083);0;0;279301.0;2481.0;10333.0;6917.0;7804.0;4908.0;3009.0;32616.0;default
com.aiworker.bcineuroskyservice;ihar;20141220T104445America/Santiago(6,353,-10800,1,1419083085);38;0;775085.0;6072.0;2577.0;7516.0;1447.0;664.0;758.0;19178.0;default
com.aiworker.bcineuroskyservice;ihar;20141220T104445America/Santiago(6,353,-10800,1,1419083085);53;51;135391.0;3572.0;9850.0;4114.0;3992.0;4356.0;3302.0;21880.0;default
com.aiworker.bcineuroskyservice;ihar;20141220T104446America/Santiago(6,353,-10800,1,1419083086);40;51;428225.0;14854.0;3224.0;25255.0;14782.0;6185.0;962.0;79155.0;default
com.aiworker.bcineuroskyservice;ihar;20141220T104447America/Santiago(6,353,-10800,1,1419083087);44;60;101810.0;17227.0;16979.0;30059.0;8419.0;23725.0;8490.0;89056.0;default
com.aiworker.bcineuroskyservice;ihar;20141220T104448America/Santiago(6,353,-10800,1,1419083088);48;66;1.6774297E7;2020.0;1675.0;5812.0;976.0;785.0;227.0;11127.0;default
com.aiworker.bcineuroskyservice;ihar;20141220T104449America/Santiago(6,353,-10800,1,1419083089);34;67;490514.0;1.6747313E7;25035.0;55677.0;24421.0;9304.0;3781.0;52282.0;default
com.aiworker.bcineuroskyservice;ihar;20141220T104450America/Santiago(6,353,-10800,1,1419083090);44;87;194794.0;4654.0;4500.0;14302.0;7028.0;1646.0;404.0;1.6756009E7;default
com.aiworker.bcineuroskyservice;ihar;20141220T104452America/Santiago(6,353,-10800,1,1419083092);35;84;134536.0;1537.0;727.0;4383.0;2302.0;389.0;1.677714E7;10776.0;default
com.aiworker.bcineuroskyservice;ihar;20141220T104452America/Santiago(6,353,-10800,1,1419083092);29;84;143495.0;5856.0;2016.0;1449.0;7296.0;2216.0;1637.0;28641.0;yoga
com.aiworker.bcineuroskyservice;ihar;20141220T104453America/Santiago(6,353,-10800,1,1419083093);43;69;40694.0;11204.0;18700.0;14884.0;4346.0;4361.0;1808.0;1.6757251E7;yoga
com.aiworker.bcineuroskyservice;ihar;20141220T104454America/Santiago(6,353,-10800,1,1419083094);37;57;54200.0;3551.0;777.0;2317.0;2154.0;145.0;289.0;11372.0;yoga
com.aiworker.bcineuroskyservice;ihar;20141220T104455America/Santiago(6,353,-10800,1,1419083095);60;60;1.6749831E7;10920.0;15564.0;8896.0;11312.0;25025.0;3540.0;22111.0;yoga
com.aiworker.bcineuroskyservice;ihar;20141220T104457America/Santiago(6,353,-10800,1,1419083097);60;57;1453701.0;13735.0;2804.0;13697.0;6013.0;4083.0;913.0;79512.0;yoga
com.aiworker.bcineuroskyservice;ihar;20141220T104457America/Santiago(6,353,-10800,1,1419083097);61;57;937247.0;19215.0;8186.0;22734.0;3130.0;2002.0;499.0;77390.0;yoga
com.aiworker.bcineuroskyservice;ihar;20141220T104458America/Santiago(6,353,-10800,1,1419083098);61;69;782725.0;10104.0;2268.0;9376.0;2462.0;907.0;634.0;31564.0;yoga
com.aiworker.bcineuroskyservice;ihar;20141220T104459America/Santiago(6,353,-10800,1,1419083099);43;69;959282.0;15597.0;7242.0;32015.0;13876.0;2920.0;3860.0;75178.0;yoga
com.aiworker.bcineuroskyservice;ihar;20141220T104500America/Santiago(6,353,-10800,1,1419083100);43;75;834504.0;445.0;413.0;777.0;1.6777178E7;1.677714E7;1.6777106E7;1327.0;yoga
com.aiworker.bcineuroskyservice;ihar;20141220T104501America/Santiago(6,353,-10800,1,1419083101);43;75;672992.0;24287.0;9425.0;27674.0;13857.0;2964.0;2455.0;36398.0;yoga
com.aiworker.bcineuroskyservice;ihar;20141220T104502America/Santiago(6,353,-10800,1,1419083102);48;75;1331538.0;8795.0;4794.0;14963.0;2809.0;697.0;1106.0;1.6761607E7;yoga
com.aiworker.bcineuroskyservice;ihar;20141220T104503America/Santiago(6,353,-10800,1,1419083103);48;75;657020.0;2678.0;1731.0;4807.0;1688.0;212.0;205.0;11993.0;yoga
com.aiworker.bcineuroskyservice;ihar;20141220T104504America/Santiago(6,353,-10800,1,1419083104);37;75;191097.0;4203.0;6074.0;17148.0;7941.0;2529.0;2814.0;22548.0;yoga
com.aiworker.bcineuroskyservice;ihar;20141220T104505America/Santiago(6,353,-10800,1,1419083105);56;80;129768.0;4427.0;10064.0;9564.0;10168.0;8496.0;4551.0;11595.0;yoga
