bciApp;username;time;att;med;delta;high_alpha;high_beta;low_alpha;low_beta;low_gamma;mid_gamma;theta;CurrentActivity
com.aiworker.bcineuroskyservice;ihar;20141225T120037America/Santiago(4,358,-10800,1,1419519637);0;0;3.0;0.0;3.0;1.0;1.0;3.0;0.0;4.0;default
com.aiworker.bcineuroskyservice;ihar;20141225T120038America/Santiago(4,358,-10800,1,1419519638);0;0;2569495.0;89342.0;32266.0;27675.0;26015.0;15635.0;17105.0;286728.0;default
com.aiworker.bcineuroskyservice;ihar;20141225T120039America/Santiago(4,358,-10800,1,1419519639);0;0;846054.0;1.6756763E7;29233.0;23472.0;29488.0;18829.0;14155.0;291515.0;default
com.aiworker.bcineuroskyservice;ihar;20141225T120040America/Santiago(4,358,-10800,1,1419519640);0;0;17808.0;6155.0;11893.0;5189.0;16335.0;9413.0;3361.0;9126.0;default
com.aiworker.bcineuroskyservice;ihar;20141225T120041America/Santiago(4,358,-10800,1,1419519641);0;0;2279.0;8977.0;8503.0;6121.0;1301.0;8844.0;6751.0;10909.0;default
com.aiworker.bcineuroskyservice;ihar;20141225T120042America/Santiago(4,358,-10800,1,1419519642);53;0;7308.0;2927.0;12052.0;640.0;6681.0;10917.0;8602.0;5787.0;default
com.aiworker.bcineuroskyservice;ihar;20141225T120043America/Santiago(4,358,-10800,1,1419519643);64;30;7023.0;4255.0;22492.0;9258.0;6837.0;15453.0;6398.0;8523.0;default
com.aiworker.bcineuroskyservice;ihar;20141225T120044America/Santiago(4,358,-10800,1,1419519644);75;35;1.674564E7;12997.0;29105.0;3657.0;6435.0;9413.0;5877.0;25914.0;default
com.aiworker.bcineuroskyservice;ihar;20141225T120045America/Santiago(4,358,-10800,1,1419519645);81;35;1.6770537E7;7533.0;22289.0;4170.0;4459.0;22339.0;4577.0;24983.0;default
com.aiworker.bcineuroskyservice;ihar;20141225T120046America/Santiago(4,358,-10800,1,1419519646);77;30;1.6754581E7;6459.0;13666.0;2888.0;6237.0;29034.0;15568.0;11850.0;default
com.aiworker.bcineuroskyservice;ihar;20141225T120047America/Santiago(4,358,-10800,1,1419519647);75;41;5776.0;5334.0;15821.0;7173.0;14571.0;8818.0;8445.0;7304.0;default
com.aiworker.bcineuroskyservice;ihar;20141225T120048America/Santiago(4,358,-10800,1,1419519648);88;40;5775.0;4680.0;1.6751313E7;2081.0;9428.0;14545.0;19963.0;4259.0;default
com.aiworker.bcineuroskyservice;ihar;20141225T120049America/Santiago(4,358,-10800,1,1419519649);88;29;6756.0;5348.0;12278.0;11269.0;16374.0;31748.0;8844.0;6389.0;default
com.aiworker.bcineuroskyservice;ihar;20141225T120050America/Santiago(4,358,-10800,1,1419519650);88;40;7334.0;8978.0;11504.0;1568.0;5085.0;16692.0;5734.0;6172.0;default
com.aiworker.bcineuroskyservice;ihar;20141225T120051America/Santiago(4,358,-10800,1,1419519651);84;47;1.6757778E7;1988.0;14969.0;1704.0;6581.0;15493.0;5324.0;19750.0;default
com.aiworker.bcineuroskyservice;ihar;20141225T120052America/Santiago(4,358,-10800,1,1419519652);69;30;11022.0;8998.0;13346.0;9074.0;3416.0;16717.0;7509.0;9972.0;default
com.aiworker.bcineuroskyservice;ihar;20141225T120053America/Santiago(4,358,-10800,1,1419519653);69;53;8601.0;13248.0;18114.0;1242.0;4668.0;13731.0;13817.0;15947.0;default
com.aiworker.bcineuroskyservice;ihar;20141225T120054America/Santiago(4,358,-10800,1,1419519654);69;50;21123.0;9164.0;13335.0;5713.0;8657.0;17832.0;11966.0;5301.0;default
com.aiworker.bcineuroskyservice;ihar;20141225T120055America/Santiago(4,358,-10800,1,1419519655);64;51;17027.0;9040.0;16010.0;14421.0;7398.0;15941.0;14190.0;28568.0;yoga
com.aiworker.bcineuroskyservice;ihar;20141225T120056America/Santiago(4,358,-10800,1,1419519656);43;70;1531312.0;17140.0;11220.0;37347.0;7849.0;8051.0;2435.0;126438.0;yoga
com.aiworker.bcineuroskyservice;ihar;20141225T120057America/Santiago(4,358,-10800,1,1419519657);40;69;94577.0;1.6777195E7;1165.0;1657.0;1030.0;574.0;349.0;2258.0;yoga
com.aiworker.bcineuroskyservice;ihar;20141225T120058America/Santiago(4,358,-10800,1,1419519658);13;69;1922990.0;5008.0;765.0;10561.0;1771.0;146.0;1.6777183E7;25863.0;yoga
com.aiworker.bcineuroskyservice;ihar;20141225T120059America/Santiago(4,358,-10800,1,1419519659);13;69;127072.0;4615.0;14524.0;5147.0;2246.0;14415.0;2266.0;8836.0;yoga
com.aiworker.bcineuroskyservice;ihar;20141225T120100America/Santiago(4,358,-10800,1,1419519660);1;69;139364.0;18636.0;6597.0;7745.0;1619.0;5697.0;647.0;92661.0;yoga
com.aiworker.bcineuroskyservice;ihar;20141225T120101America/Santiago(4,358,-10800,1,1419519661);3;63;20681.0;54.0;181.0;473.0;551.0;136.0;273.0;5452.0;yoga
com.aiworker.bcineuroskyservice;ihar;20141225T120102America/Santiago(4,358,-10800,1,1419519662);1;43;893929.0;5593.0;4520.0;10940.0;2275.0;967.0;380.0;14872.0;yoga
com.aiworker.bcineuroskyservice;ihar;20141225T120103America/Santiago(4,358,-10800,1,1419519663);1;53;993796.0;4703.0;2514.0;3525.0;2470.0;4570.0;470.0;1.6773339E7;yoga
com.aiworker.bcineuroskyservice;ihar;20141225T120104America/Santiago(4,358,-10800,1,1419519664);1;34;1944818.0;69868.0;11568.0;68049.0;1.6754034E7;13253.0;7713.0;153081.0;yoga
com.aiworker.bcineuroskyservice;ihar;20141225T120105America/Santiago(4,358,-10800,1,1419519665);1;47;51647.0;14042.0;5450.0;6370.0;5364.0;4076.0;1747.0;35205.0;yoga
com.aiworker.bcineuroskyservice;ihar;20141225T120106America/Santiago(4,358,-10800,1,1419519666);1;51;838521.0;20218.0;20841.0;1.6757309E7;28694.0;15824.0;9117.0;280460.0;yoga
com.aiworker.bcineuroskyservice;ihar;20141225T120107America/Santiago(4,358,-10800,1,1419519667);1;34;957412.0;2330.0;1907.0;8261.0;1991.0;563.0;1.6777163E7;1.6760192E7;yoga
com.aiworker.bcineuroskyservice;ihar;20141225T120108America/Santiago(4,358,-10800,1,1419519668);1;41;614940.0;11110.0;2575.0;11875.0;6183.0;4228.0;3146.0;82041.0;yoga
com.aiworker.bcineuroskyservice;ihar;20141225T120109America/Santiago(4,358,-10800,1,1419519669);1;26;751516.0;1.6764496E7;8822.0;13361.0;15060.0;6936.0;3856.0;30359.0;yoga
com.aiworker.bcineuroskyservice;ihar;20141225T120110America/Santiago(4,358,-10800,1,1419519670);1;51;366933.0;4125.0;998.0;2230.0;2325.0;2518.0;1060.0;65922.0;yoga
com.aiworker.bcineuroskyservice;ihar;20141225T120111America/Santiago(4,358,-10800,1,1419519671);1;40;1850112.0;69920.0;20522.0;22240.0;1.6758291E7;7907.0;3250.0;50171.0;yoga
com.aiworker.bcineuroskyservice;ihar;20141225T120112America/Santiago(4,358,-10800,1,1419519672);1;51;575551.0;37853.0;28512.0;162013.0;67971.0;8933.0;6000.0;164345.0;yoga
com.aiworker.bcineuroskyservice;ihar;20141225T120113America/Santiago(4,358,-10800,1,1419519673);1;51;538010.0;21008.0;2142.0;17164.0;1535.0;1000.0;402.0;25425.0;yoga
com.aiworker.bcineuroskyservice;ihar;20141225T120114America/Santiago(4,358,-10800,1,1419519674);1;51;1221592.0;16083.0;25539.0;4783.0;18082.0;4779.0;1275.0;221600.0;yoga
com.aiworker.bcineuroskyservice;ihar;20141225T120115America/Santiago(4,358,-10800,1,1419519675);1;51;169619.0;2328.0;3000.0;3859.0;1326.0;776.0;277.0;10297.0;yoga
com.aiworker.bcineuroskyservice;ihar;20141225T120115America/Santiago(4,358,-10800,1,1419519675);1;51;1779515.0;1.6757289E7;10970.0;1.6744332E7;31653.0;6514.0;5337.0;96954.0;yoga
com.aiworker.bcineuroskyservice;ihar;20141225T120117America/Santiago(4,358,-10800,1,1419519677);1;61;103550.0;2789.0;387.0;3851.0;2946.0;282.0;1.6777144E7;31244.0;yoga
com.aiworker.bcineuroskyservice;ihar;20141225T120118America/Santiago(4,358,-10800,1,1419519678);1;37;188542.0;1.6751405E7;1784.0;20107.0;6042.0;1517.0;240.0;1.6763319E7;yoga
com.aiworker.bcineuroskyservice;ihar;20141225T120118America/Santiago(4,358,-10800,1,1419519678);1;69;1370693.0;1218.0;4377.0;12968.0;9515.0;1892.0;1581.0;1.6770042E7;yoga
com.aiworker.bcineuroskyservice;ihar;20141225T120119America/Santiago(4,358,-10800,1,1419519679);1;57;29840.0;3131.0;4622.0;29938.0;1733.0;2622.0;3430.0;20984.0;yoga
