com.aiworker.bcineuroskyservice;ihar;20150119T223940America/Santiago(1,18,-10800,1,1421717980);29;50;1958747;112817;156485;164942;15256;7271;1448309;457180;default
com.aiworker.bcineuroskyservice;ihar;20150119T223942America/Santiago(1,18,-10800,1,1421717982);20;69;426744;27697;1.68E+007;99961;5327;2351;429359;172918;default
com.aiworker.bcineuroskyservice;ihar;20150119T223942America/Santiago(1,18,-10800,1,1421717982);8;70;1404853;1.68E+007;176102;551661;13126;13182;1575273;496841;default
com.aiworker.bcineuroskyservice;ihar;20150119T223943America/Santiago(1,18,-10800,1,1421717983);23;90;928030;23834;71648;65969;6589;2661;416031;134573;default
com.aiworker.bcineuroskyservice;ihar;20150119T223944America/Santiago(1,18,-10800,1,1421717984);26;100;2024047;1.68E+007;283141;319859;1.67E+007;9035;1544750;879014;default
com.aiworker.bcineuroskyservice;ihar;20150119T223945America/Santiago(1,18,-10800,1,1421717985);34;88;540678;1.68E+007;71995;158261;7251;8612;260476;202341;default
com.aiworker.bcineuroskyservice;ihar;20150119T223946America/Santiago(1,18,-10800,1,1421717986);29;90;94189;18439;1.67E+007;1.68E+007;7457;2017;260663;148603;default
com.aiworker.bcineuroskyservice;ihar;20150119T223947America/Santiago(1,18,-10800,1,1421717987);26;70;320708;473878;309525;112421;75489;20347;1684157;756135;default
com.aiworker.bcineuroskyservice;ihar;20150119T223948America/Santiago(1,18,-10800,1,1421717988);23;78;61843;80796;68477;52480;5021;4642;400492;188313;default
com.aiworker.bcineuroskyservice;ihar;20150119T223949America/Santiago(1,18,-10800,1,1421717989);20;93;857010;1.68E+007;155154;349504;18765;3385;1657157;590211;default
com.aiworker.bcineuroskyservice;ihar;20150119T223950America/Santiago(1,18,-10800,1,1421717990);23;84;376590;11493;262350;377533;9189;3678;1485793;875507;default
com.aiworker.bcineuroskyservice;ihar;20150119T223951America/Santiago(1,18,-10800,1,1421717991);30;84;668196;10424;82098;73326;2065;1210;299585;44088;default
com.aiworker.bcineuroskyservice;ihar;20150119T223952America/Santiago(1,18,-10800,1,1421717992);26;83;983948;1.68E+007;228818;146978;14787;2191;1489515;1797329;default
com.aiworker.bcineuroskyservice;ihar;20150119T223953America/Santiago(1,18,-10800,1,1421717993);37;48;1948748;41998;225514;156854;10217;3760;1461220;397733;default
com.aiworker.bcineuroskyservice;ihar;20150119T223954America/Santiago(1,18,-10800,1,1421717994);34;50;407883;32501;212696;250532;6131;4596;1430328;779098;default
com.aiworker.bcineuroskyservice;ihar;20150119T223955America/Santiago(1,18,-10800,1,1421717995);27;50;872228;1.68E+007;221565;221678;11488;4543;1402631;405938;default
com.aiworker.bcineuroskyservice;ihar;20150119T223956America/Santiago(1,18,-10800,1,1421717996);43;56;1517492;1.68E+007;178404;277447;11480;2934;1410094;446363;default
com.aiworker.bcineuroskyservice;ihar;20150119T223957America/Santiago(1,18,-10800,1,1421717997);37;88;446558;13546;248660;43114;9155;5278;1362253;1282716;default
com.aiworker.bcineuroskyservice;ihar;20150119T223958America/Santiago(1,18,-10800,1,1421717998);43;56;272529;8820;1.68E+007;1.68E+007;2954;841;358853;145560;default
com.aiworker.bcineuroskyservice;ihar;20150119T223959America/Santiago(1,18,-10800,1,1421717999);41;56;1702246;18667;249642;342356;10290;3540;1365274;728915;default
com.aiworker.bcineuroskyservice;ihar;20150119T224000America/Santiago(1,18,-10800,1,1421718000);47;51;1514613;13082;286288;342641;4948;3509;1329188;345318;default
com.aiworker.bcineuroskyservice;ihar;20150119T224001America/Santiago(1,18,-10800,1,1421718001);51;54;1727096;11327;284282;430471;17114;2872;1308016;360835;default
com.aiworker.bcineuroskyservice;ihar;20150119T224002America/Santiago(1,18,-10800,1,1421718002);48;96;126225;1.68E+007;1.68E+007;1.67E+007;2836;1092;331893;170586;default
com.aiworker.bcineuroskyservice;ihar;20150119T224003America/Santiago(1,18,-10800,1,1421718003);53;80;540741;16469;286828;263460;4313;6354;1224417;413678;default
com.aiworker.bcineuroskyservice;ihar;20150119T224004America/Santiago(1,18,-10800,1,1421718004);54;83;53897;12010;73637;1.68E+007;453;2152;261800;93668;default
com.aiworker.bcineuroskyservice;ihar;20150119T224005America/Santiago(1,18,-10800,1,1421718005);54;77;1720094;96245;117579;127668;20641;7062;1316973;315422;default
